Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
1982,Females,15–24,4,0.36
1982,Females,25–34,20,1.65
1982,Females,35–44,22,2.32
1982,Females,45–54,33,4.47
1982,Females,55–64,31,4.42
1982,Females,65–74,58,11.07
1982,Females,75–84,31,11.67
1982,Females,85–94,17,21.87
1982,Males,15–24,10,0.77
1982,Males,25–34,24,1.94
1982,Males,35–44,48,4.87
1982,Males,45–54,69,8.86
1982,Males,55–64,78,11.47
1982,Males,65–74,108,24.79
1982,Males,75–84,35,21.16
1982,Males,85–94,7,24.56
1982,Persons,15–24,14,0.51
1982,Persons,25–34,44,1.74
1982,Persons,35–44,70,3.65
1982,Persons,45–54,102,6.71
1982,Persons,55–64,109,7.87
1982,Persons,65–74,166,17.29
1982,Persons,75–84,66,15.26
1982,Persons,85–94,24,22.56
1983,Females,15–24,5,0.39
1983,Females,25–34,17,1.35
1983,Females,35–44,27,2.69
1983,Females,45–54,42,5.7
1983,Females,55–64,54,7.56
1983,Females,65–74,55,10.28
1983,Females,75–84,40,14.44
1983,Females,85–94,21,26.13
1983,Males,15–24,8,0.67
1983,Males,25–34,28,2.23
1983,Males,35–44,46,4.46
1983,Males,45–54,51,6.58
1983,Males,55–64,94,13.44
1983,Males,65–74,85,19.21
1983,Males,75–84,42,24.27
1983,Males,85–94,8,27.57
1983,Persons,15–24,13,0.44
1983,Persons,25–34,45,1.81
1983,Persons,35–44,73,3.56
1983,Persons,45–54,93,6.14
1983,Persons,55–64,148,10.49
1983,Persons,65–74,140,14.35
1983,Persons,75–84,82,18.19
1983,Persons,85–94,29,26.49
1984,Females,15–24,4,0.3
1984,Females,25–34,17,1.33
1984,Females,35–44,30,2.88
1984,Females,45–54,32,4.27
1984,Females,55–64,44,6
1984,Females,65–74,58,10.72
1984,Females,75–84,42,14.53
1984,Females,85–94,16,19.24
1984,Males,15–24,8,0.6
1984,Males,25–34,32,2.49
1984,Males,35–44,42,3.9
1984,Males,45–54,66,8.44
1984,Males,55–64,108,15.04
1984,Males,65–74,88,19.66
1984,Males,75–84,43,23.7
1984,Males,85–94,10,33.14
1984,Persons,15–24,12,0.45
1984,Persons,25–34,49,1.95
1984,Persons,35–44,72,3.44
1984,Persons,45–54,98,6.38
1984,Persons,55–64,152,10.47
1984,Persons,65–74,146,14.77
1984,Persons,75–84,85,18.05
1984,Persons,85–94,26,22.88
1985,Females,15–24,3,0.26
1985,Females,25–34,22,1.69
1985,Females,35–44,26,2.41
1985,Females,45–54,46,6.11
1985,Females,55–64,56,7.56
1985,Females,65–74,46,8.34
1985,Females,75–84,43,14.39
1985,Females,85–94,27,30.38
1985,Males,15–24,11,0.8
1985,Males,25–34,28,2.15
1985,Males,35–44,48,4.26
1985,Males,45–54,61,7.71
1985,Males,55–64,94,12.86
1985,Males,65–74,98,21.35
1985,Males,75–84,49,25.85
1985,Males,85–94,13,40.07
1985,Persons,15–24,14,0.5
1985,Persons,25–34,50,1.95
1985,Persons,35–44,74,3.36
1985,Persons,45–54,107,6.87
1985,Persons,55–64,150,10.22
1985,Persons,65–74,144,14.24
1985,Persons,75–84,92,18.8
1985,Persons,85–94,40,33.04
1986,Females,15–24,2,0.2
1986,Females,25–34,16,1.18
1986,Females,35–44,34,3.05
1986,Females,45–54,34,4.45
1986,Females,55–64,51,6.95
