Year,Sex,Count,Age group (years),"Age-specific rate(per 100,000)"
1982,Females,131,15–24,10.19
1982,Males,82,15–24,6.18
1982,Persons,213,15–24,8.16
1983,Females,132,15–24,10.26
1983,Males,78,15–24,5.83
1983,Persons,210,15–24,7.99
1984,Females,116,15–24,8.93
1984,Males,90,15–24,6.68
1984,Persons,206,15–24,7.81
1985,Females,131,15–24,10.12
1985,Males,86,15–24,6.32
1985,Persons,217,15–24,8.14
1986,Females,140,15–24,10.63
1986,Males,102,15–24,7.44
1986,Persons,242,15–24,9.05
1987,Females,155,15–24,11.61
1987,Males,118,15–24,8.52
1987,Persons,273,15–24,10.08
1988,Females,158,15–24,11.72
1988,Males,146,15–24,10.51
1988,Persons,304,15–24,11.15
1989,Females,154,15–24,11.45
1989,Males,103,15–24,7.33
1989,Persons,257,15–24,9.36
1990,Females,145,15–24,10.68
1990,Males,111,15–24,7.93
1990,Persons,256,15–24,9.24
1991,Females,154,15–24,11.35
1991,Males,116,15–24,8.25
1991,Persons,270,15–24,9.76
1992,Females,124,15–24,9.15
1992,Males,130,15–24,9.32
1992,Persons,254,15–24,9.21
1993,Females,128,15–24,9.57
1993,Males,114,15–24,8.21
1993,Persons,242,15–24,8.87
1994,Females,149,15–24,11.2
1994,Males,123,15–24,8.89
1994,Persons,272,15–24,10.07
1995,Females,164,15–24,12.41
1995,Males,145,15–24,10.58
1995,Persons,309,15–24,11.54
1996,Females,166,15–24,12.73
1996,Males,124,15–24,9.13
1996,Persons,290,15–24,10.87
1997,Females,179,15–24,13.94
1997,Males,128,15–24,9.6
1997,Persons,307,15–24,11.72
1998,Females,129,15–24,10.19
1998,Males,88,15–24,6.68
1998,Persons,217,15–24,8.35
1999,Females,153,15–24,12.09
1999,Males,113,15–24,8.6
1999,Persons,266,15–24,10.28
2000,Females,131,15–24,10.3
2000,Males,105,15–24,7.97
2000,Persons,236,15–24,9.11
2001,Females,120,15–24,9.32
2001,Males,96,15–24,7.17
2001,Persons,216,15–24,8.21
2002,Females,135,15–24,10.29
2002,Males,113,15–24,8.36
2002,Persons,248,15–24,9.25
2003,Females,126,15–24,9.42
2003,Males,89,15–24,6.49
2003,Persons,215,15–24,7.93
2004,Females,125,15–24,9.29
2004,Males,110,15–24,7.8
2004,Persons,235,15–24,8.59
2005,Females,106,15–24,7.78
2005,Males,90,15–24,6.31
2005,Persons,196,15–24,6.97
2006,Females,106,15–24,7.64
2006,Males,91,15–24,6.23
2006,Persons,197,15–24,6.96
2007,Females,103,15–24,7.27
2007,Males,73,15–24,4.88
2007,Persons,176,15–24,6.07
2008,Females,100,15–24,6.87
2008,Males,81,15–24,5.33
2008,Persons,181,15–24,6.08
2009,Females,104,15–24,7
2009,Males,75,15–24,4.8
2009,Persons,179,15–24,5.89
2010,Females,73,15–24,4.86
2010,Males,47,15–24,2.98
2010,Persons,120,15–24,3.88
2011,Females,79,15–24,5.26
2011,Males,62,15–24,3.92
2011,Persons,141,15–24,4.59
2012,Females,81,15–24,5.34
2012,Males,67,15–24,4.19
2012,Persons,148,15–24,4.76
2013,Females,81,15–24,5.28
2013,Males,58,15–24,3.63
2013,Persons,139,15–24,4.46
2014,Females,81,15–24,5.33
2014,Males,60,15–24,3.73
2014,Persons,141,15–24,4.53
2015,Females,70,15–24,4.56
2015,Males,52,15–24,3.2
2015,Persons,122,15–24,3.92
2016,Females,81,15–24,5.26
2016,Males,51,15–24,3.13
2016,Persons,132,15–24,4.18
2017,Females,75,15–24,4.79
2017,Males,45,15–24,2.76
2017,Persons,120,15–24,3.77
2018,Females,79,15–24,5.04
2018,Males,68,15–24,4.16
2018,Persons,147,15–24,4.55
2019,Females,84,15–24,5.36
2019,Males,72,15–24,4.28
2019,Persons,156,15–24,4.82
2020,Females,79,15–24,5.11
2020,Males,60,15–24,3.67
2020,Persons,139,15–24,4.33
2021,Females,75,15–24,5
2021,Males,58,15–24,3.66
2021,Persons,133,15–24,4.31
2022,Females,77,15–24,5
2022,Males,59,15–24,3.6
2022,Persons,136,15–24,4.34
2023,Females,78,15–24,5.04
2023,Males,61,15–24,3.67
2023,Persons,139,15–24,4.34
